rho, eigenvector (ground state)
0.035, 0.000550884
0.07, 0.0011207
0.105, 0.00170943
0.14, 0.00231703
0.175, 0.00294345
0.21, 0.00358862
0.245, 0.00425247
0.28, 0.00493492
0.315, 0.00563586
0.35, 0.00635517
0.385, 0.00709275
0.42, 0.00784843
0.455, 0.00862208
0.49, 0.00941353
0.525, 0.0102226
0.56, 0.0110491
0.595, 0.0118929
0.63, 0.0127536
0.665, 0.0136312
0.7, 0.0145253
0.735, 0.0154357
0.77, 0.0163621
0.805, 0.0173043
0.84, 0.018262
0.875, 0.0192348
0.91, 0.0202225
0.945, 0.0212248
0.98, 0.0222412
1.015, 0.0232714
1.05, 0.0243152
1.085, 0.025372
1.12, 0.0264416
1.155, 0.0275234
1.19, 0.0286172
1.225, 0.0297225
1.26, 0.0308389
1.295, 0.0319659
1.33, 0.0331031
1.365, 0.0342499
1.4, 0.0354061
1.435, 0.0365709
1.47, 0.0377441
1.505, 0.038925
1.54, 0.0401132
1.575, 0.0413081
1.61, 0.0425092
1.645, 0.043716
1.68, 0.0449279
1.715, 0.0461444
1.75, 0.0473648
1.785, 0.0485888
1.82, 0.0498155
1.855, 0.0510446
1.89, 0.0522753
1.925, 0.0535071
1.96, 0.0547394
1.995, 0.0559716
2.03, 0.057203
2.065, 0.0584331
2.1, 0.0596611
2.135, 0.0608866
2.17, 0.0621088
2.205, 0.0633271
2.24, 0.0645408
2.275, 0.0657494
2.31, 0.0669521
2.345, 0.0681484
2.38, 0.0693375
2.415, 0.0705188
2.45, 0.0716916
2.485, 0.0728554
2.52, 0.0740094
2.555, 0.0751529
2.59, 0.0762854
2.625, 0.0774061
2.66, 0.0785144
2.695, 0.0796096
2.73, 0.0806911
2.765, 0.0817582
2.8, 0.0828103
2.835, 0.0838467
2.87, 0.0848668
2.905, 0.0858699
2.94, 0.0868554
2.975, 0.0878227
3.01, 0.088771
3.045, 0.0896999
3.08, 0.0906086
3.115, 0.0914966
3.15, 0.0923632
3.185, 0.0932079
3.22, 0.0940301
3.255, 0.094829
3.29, 0.0956043
3.325, 0.0963553
3.36, 0.0970813
3.395, 0.097782
3.43, 0.0984567
3.465, 0.0991049
3.5, 0.0997261
3.535, 0.10032
3.57, 0.100885
3.605, 0.101422
3.64, 0.10193
3.675, 0.102408
3.71, 0.102857
3.745, 0.103275
3.78, 0.103662
3.815, 0.104018
3.85, 0.104342
3.885, 0.104634
3.92, 0.104893
3.955, 0.10512
3.99, 0.105313
4.025, 0.105473
4.06, 0.105599
4.095, 0.10569
4.13, 0.105747
4.165, 0.10577
4.2, 0.105757
4.235, 0.105709
4.27, 0.105625
4.305, 0.105505
4.34, 0.10535
4.375, 0.105158
4.41, 0.104931
4.445, 0.104666
4.48, 0.104365
4.515, 0.104027
4.55, 0.103653
4.585, 0.103241
4.62, 0.102793
4.655, 0.102307
4.69, 0.101785
4.725, 0.101225
4.76, 0.100629
4.795, 0.0999953
4.83, 0.0993247
4.865, 0.0986173
4.9, 0.0978731
4.935, 0.0970922
4.97, 0.0962748
5.005, 0.0954209
5.04, 0.0945307
5.075, 0.0936045
5.11, 0.0926424
5.145, 0.0916446
5.18, 0.0906114
5.215, 0.0895431
5.25, 0.0884399
5.285, 0.087302
5.32, 0.08613
5.355, 0.0849239
5.39, 0.0836843
5.425, 0.0824114
5.46, 0.0811057
5.495, 0.0797676
5.53, 0.0783975
5.565, 0.0769958
5.6, 0.075563
5.635, 0.0740996
5.67, 0.0726061
5.705, 0.071083
5.74, 0.0695308
5.775, 0.06795
5.81, 0.0663413
5.845, 0.0647052
5.88, 0.0630423
5.915, 0.0613532
5.95, 0.0596386
5.985, 0.057899
6.02, 0.0561352
6.055, 0.0543479
6.09, 0.0525377
6.125, 0.0507052
6.16, 0.0488514
6.195, 0.0469768
6.23, 0.0450822
6.265, 0.0431684
6.3, 0.0412361
6.335, 0.0392862
6.37, 0.0373194
6.405, 0.0353365
6.44, 0.0333384
6.475, 0.0313258
6.51, 0.0292997
6.545, 0.0272608
6.58, 0.0252101
6.615, 0.0231484
6.65, 0.0210765
6.685, 0.0189954
6.72, 0.016906
6.755, 0.0148091
6.79, 0.0127058
6.825, 0.0105967
6.86, 0.00848305
6.895, 0.00636559
6.93, 0.0042453
6.965, 0.00212312
